"Image URL"                                                   , "Price", "Description HTML"                                                                                                                                                                                                                                    , "Restaurant Name"    , "Category"   , "Product ID"        , "Cuisine Type"       , "Product Name"                  , "Short Description"                                                                                       , "Menu Code"
"https://images.unsplash.com/photo-1511690656952-34342bb7c2f2", "28.0" , "<ul><li>Hand-cut premium beef tenderloin</li><li>Black truffle oil and shaved truffle</li><li>Briny capers and cornichons</li><li>Farm-fresh quail egg yolk</li><li>Served with crostini</li><li>Gluten-free option available</li></ul>"             , "L'Artiste Bistro"   , "Appetizers" , "wwzh1yk63vml74a7st", "Contemporary French", "Truffle Beef Tartare"          , "Hand-cut premium beef, black truffle oil, capers, and quail egg."                                        , "R1-M1"
"https://images.unsplash.com/photo-1532639113880-08a543b36df2", "32.0" , "<ul><li>Wild-caught Hokkaido scallops</li><li>Seared to golden caramelization</li><li>Velvety cauliflower purée base</li><li>Aromatic herb oil drizzle</li><li>Micro greens garnish</li><li>Pescatarian</li></ul>"                                   , "L'Artiste Bistro"   , "Appetizers" , "n5qzagh7ehoqsaq8js", "Contemporary French", "Pan-Seared Scallops"           , "Hokkaido scallops, cauliflower purée, and herb oil."                                                     , "R1-M2"
"https://images.unsplash.com/photo-1544025162-d76694265947"   , "54.0" , "<ul><li>Australian Wagyu short rib</li><li>Slow-braised for 48 hours</li><li>Red wine and veal stock reduction</li><li>Silky celery root mousseline</li><li>Seasonal roasted vegetables</li><li>Contains dairy</li></ul>"                            , "L'Artiste Bistro"   , "Main Course", "y1sy12pasda28zscwm", "Contemporary French", "48-Hour Wagyu Short Rib"       , "Glazed with red wine reduction, served with celery root mousseline."                                     , "R1-M3"
"https://images.unsplash.com/photo-1559847844-5315695dadae"   , "38.0" , "<ul><li>Free-range duck breast</li><li>Roasted to perfect pink medium</li><li>Sweet-tart cherry gastrique</li><li>Creamy potato gratin</li><li>Baby spinach and walnut salad</li><li>Gluten-free</li></ul>"                                          , "L'Artiste Bistro"   , "Main Course", "3o0nhhvuutycmd59t1", "Contemporary French", "Roasted Duck Breast"           , "Pink-roasted duck with cherry gastrique and potato gratin."                                              , "R1-M41"
"https://images.unsplash.com/photo-1551024506-0bccd828d307"   , "14.0" , "<ul><li>Tahitian vanilla bean custard</li><li>Perfectly torched caramel crust</li><li>House-made tuile cookie</li><li>Fresh seasonal berries</li><li>Vegetarian</li><li>Contains dairy and eggs</li></ul>"                                           , "L'Artiste Bistro"   , "Desserts"   , "l0u7jz0jehfrz3ttgy", "Contemporary French", "Crème Brûlée"                  , "Tahitian vanilla custard with caramelized sugar crust."                                                  , "R1-M42"
"https://images.unsplash.com/photo-1553621042-f6e147245754"   , "65.0" , "<ul><li>Chef's choice 10-piece nigiri</li><li>Fish flown in daily from Tsukiji market</li><li>Premium seasonal selection</li><li>Includes otoro, uni, and ikura</li><li>Served with house-pickled ginger</li><li>Contains raw fish</li></ul>"        , "Komorebi Sushi"     , "Mains"      , "p9huqvdeh9sn7z9kcd", "Authentic Japanese" , "Omakase Selection"             , "Chef's daily selection of premium seasonal nigiri."                                                      , "R2-M4"
"https://images.unsplash.com/photo-1579871494447-9811cf80d66c", "22.0" , "<ul><li>Fresh blue fin tuna</li><li>Creamy avocado</li><li>Signature spicy aioli</li><li>Toasted sesame seeds</li><li>Hand-rolled nori wrap</li><li>Contains raw fish and soy</li></ul>"                                                             , "Komorebi Sushi"     , "Rolls"      , "p6r5uqcs9vna9p7h19", "Authentic Japanese" , "Spicy Blue Fin Tuna Roll"      , "Hand-rolled with fresh blue fin tuna and signature spicy aioli."                                         , "R2-M5"
"https://images.unsplash.com/photo-1553621042-f6e147245754"   , "28.0" , "<ul><li>Paper-thin yellowtail sashimi</li><li>Fresh jalapeño rounds</li><li>Yuzu citrus dressing</li><li>Micro cilantro garnish</li><li>Ponzu drizzle</li><li>Contains raw fish</li></ul>"                                                           , "Komorebi Sushi"     , "Appetizers" , "lph42knibz89ejs79m", "Authentic Japanese" , "Yellowtail Jalapeño"           , "Thinly sliced yellowtail with jalapeño, yuzu, and cilantro."                                             , "R2-M43"
"https://images.unsplash.com/photo-1579871494447-9811cf80d66c", "35.0" , "<ul><li>Assorted premium sashimi</li><li>Salmon, tuna, yellowtail, shrimp, and tamago</li><li>Seasoned vinegared sushi rice</li><li>House-pickled ginger and wasabi</li><li>Shredded nori topping</li><li>Contains raw fish and soy</li></ul>"       , "Komorebi Sushi"     , "Mains"      , "27zsg9ar6rvitvls0i", "Authentic Japanese" , "Chirashi Don"                  , "Assorted sashimi over seasoned sushi rice with pickled ginger."                                          , "R2-M44"
"https://images.unsplash.com/photo-1600891964599-f61ba0e24092", "45.0" , "<ul><li>USDA Prime grade ribeye</li><li>30-day dry-aged for intense flavor</li><li>Grilled over white oak charcoal</li><li>Finished with compound herb butter</li><li>Served with choice of one side</li><li>Gluten-free</li></ul>"                  , "The Butcher's Table", "Mains"      , "f2zl063kij830nydrr", "Steakhouse"         , "Dry-Aged Ribeye"               , "30-day dry-aged prime beef, grilled over white oak."                                                     , "R3-M6"
