Id,ImageURL,UnitPrice,Category1,Category2,Category3,Name,Description,ProductSKU,LongDescription
wwzh1yk63vml74a7st,https://images.unsplash.com/photo-1511690656952-34342bb7c2f2,28,Contemporary French,Appetizers,L'Artiste Bistro,Truffle Beef Tartare,"Hand-cut premium beef, black truffle oil, capers, and quail egg.",R1-M1,<ul><li>Hand-cut premium beef tenderloin</li><li>Black truffle oil and shaved truffle</li><li>Briny capers and cornichons</li><li>Farm-fresh quail egg yolk</li><li>Served with crostini</li><li>Gluten-free option available</li></ul>
n5qzagh7ehoqsaq8js,https://images.unsplash.com/photo-1532639113880-08a543b36df2,32,Contemporary French,Appetizers,L'Artiste Bistro,Pan-Seared Scallops,"Hokkaido scallops, cauliflower purée, and herb oil.",R1-M2,<ul><li>Wild-caught Hokkaido scallops</li><li>Seared to golden caramelization</li><li>Velvety cauliflower purée base</li><li>Aromatic herb oil drizzle</li><li>Micro greens garnish</li><li>Pescatarian</li></ul>
y1sy12pasda28zscwm,https://images.unsplash.com/photo-1544025162-d76694265947,54,Contemporary French,Main Course,L'Artiste Bistro,48-Hour Wagyu Short Rib,"Glazed with red wine reduction, served with celery root mousseline.",R1-M3,<ul><li>Australian Wagyu short rib</li><li>Slow-braised for 48 hours</li><li>Red wine and veal stock reduction</li><li>Silky celery root mousseline</li><li>Seasonal roasted vegetables</li><li>Contains dairy</li></ul>
3o0nhhvuutycmd59t1,https://images.unsplash.com/photo-1559847844-5315695dadae,38,Contemporary French,Main Course,L'Artiste Bistro,Roasted Duck Breast,Pink-roasted duck with cherry gastrique and potato gratin.,R1-M41,<ul><li>Free-range duck breast</li><li>Roasted to perfect pink medium</li><li>Sweet-tart cherry gastrique</li><li>Creamy potato gratin</li><li>Baby spinach and walnut salad</li><li>Gluten-free</li></ul>
l0u7jz0jehfrz3ttgy,https://images.unsplash.com/photo-1551024506-0bccd828d307,14,Contemporary French,Desserts,L'Artiste Bistro,Crème Brûlée,Tahitian vanilla custard with caramelized sugar crust.,R1-M42,<ul><li>Tahitian vanilla bean custard</li><li>Perfectly torched caramel crust</li><li>House-made tuile cookie</li><li>Fresh seasonal berries</li><li>Vegetarian</li><li>Contains dairy and eggs</li></ul>
p9huqvdeh9sn7z9kcd,https://images.unsplash.com/photo-1553621042-f6e147245754,65,Authentic Japanese,Mains,Komorebi Sushi,Omakase Selection,Chef's daily selection of premium seasonal nigiri.,R2-M4,"<ul><li>Chef's choice 10-piece nigiri</li><li>Fish flown in daily from Tsukiji market</li><li>Premium seasonal selection</li><li>Includes otoro, uni, and ikura</li><li>Served with house-pickled ginger</li><li>Contains raw fish</li></ul>"
p6r5uqcs9vna9p7h19,https://images.unsplash.com/photo-1579871494447-9811cf80d66c,22,Authentic Japanese,Rolls,Komorebi Sushi,Spicy Blue Fin Tuna Roll,Hand-rolled with fresh blue fin tuna and signature spicy aioli.,R2-M5,<ul><li>Fresh blue fin tuna</li><li>Creamy avocado</li><li>Signature spicy aioli</li><li>Toasted sesame seeds</li><li>Hand-rolled nori wrap</li><li>Contains raw fish and soy</li></ul>
lph42knibz89ejs79m,https://images.unsplash.com/photo-1553621042-f6e147245754,28,Authentic Japanese,Appetizers,Komorebi Sushi,Yellowtail Jalapeño,"Thinly sliced yellowtail with jalapeño, yuzu, and cilantro.",R2-M43,<ul><li>Paper-thin yellowtail sashimi</li><li>Fresh jalapeño rounds</li><li>Yuzu citrus dressing</li><li>Micro cilantro garnish</li><li>Ponzu drizzle</li><li>Contains raw fish</li></ul>
27zsg9ar6rvitvls0i,https://images.unsplash.com/photo-1579871494447-9811cf80d66c,35,Authentic Japanese,Mains,Komorebi Sushi,Chirashi Don,Assorted sashimi over seasoned sushi rice with pickled ginger.,R2-M44,"<ul><li>Assorted premium sashimi</li><li>Salmon, tuna, yellowtail, shrimp, and tamago</li><li>Seasoned vinegared sushi rice</li><li>House-pickled ginger and wasabi</li><li>Shredded nori topping</li><li>Contains raw fish and soy</li></ul>"
f2zl063kij830nydrr,https://images.unsplash.com/photo-1600891964599-f61ba0e24092,45,Steakhouse,Mains,The Butcher's Table,Dry-Aged Ribeye,"30-day dry-aged prime beef, grilled over white oak.",R3-M6,<ul><li>USDA Prime grade ribeye</li><li>30-day dry-aged for intense flavor</li><li>Grilled over white oak charcoal</li><li>Finished with compound herb butter</li><li>Served with choice of one side</li><li>Gluten-free</li></ul>
